[2025-11-06 19:59:49,279] INFO - Loading existing vectorstore from disk
[2025-11-06 19:59:51,467] INFO - Tool selection for report: MANDIANT
[2025-11-06 19:59:51,467] INFO - TTP extraction from CTI report
[2025-11-06 19:59:51,479] INFO - Searching for tool alignment with CTI report...
[2025-11-06 20:01:59,656] INFO - Tool field precision: 0.00
[2025-11-06 20:01:59,657] INFO - Validating LLM output
[2025-11-06 20:01:59,658] WARNING - Invalid or multiple tools detected: 'mshta.exe' — replacing with 'No tool'
[2025-11-06 20:01:59,658] WARNING - Invalid or multiple tools detected: 'mshta.exe' — replacing with 'No tool'
[2025-11-06 20:01:59,658] WARNING - Invalid or multiple tools detected: 'mshta.exe' — replacing with 'No tool'
[2025-11-06 20:01:59,662] INFO - Generating commands for report: MANDIANT
[2025-11-06 20:01:59,732] ERROR - No feasible attack actions found. Aborting.
[2025-11-06 20:01:59,733] WARNING - No commands generated. Matching skipped.
[2025-11-07 12:12:01,228] INFO - Loading existing vectorstore from disk
[2025-11-07 12:12:05,364] INFO - Tool selection for report: RESEARCH
[2025-11-07 12:12:05,367] INFO - TTP extraction from CTI report
[2025-11-07 12:12:05,434] INFO - Searching for tool alignment with CTI report...
[2025-11-07 12:14:05,187] INFO - Loading existing vectorstore from disk
[2025-11-07 12:14:07,465] INFO - Tool selection for report: RESEARCH
[2025-11-07 12:14:07,466] INFO - TTP extraction from CTI report
[2025-11-07 12:14:07,467] INFO - Searching for tool alignment with CTI report...
[2025-11-07 12:15:39,327] INFO - Tool field precision: 1.00
[2025-11-07 12:15:39,328] INFO - Validating LLM output
[2025-11-07 12:15:39,330] INFO - Generating commands for report: RESEARCH
[2025-11-07 12:15:39,357] INFO - Parsed 3 feasible attack actions.
[2025-11-07 12:15:59,435] INFO - Saved command in output\RESEARCH_OILRIG\generated_commands\command_psexec_TA0002_T1053.txt
[2025-11-07 12:16:25,969] INFO - Saved command in output\RESEARCH_OILRIG\generated_commands\command_psexec_TA0003_T1053.txt
[2025-11-07 12:16:36,453] INFO - Saved command in output\RESEARCH_OILRIG\generated_commands\command_psexec_TA0004_T1053.txt
[2025-11-07 12:16:37,304] INFO - Results exported to: C:\Users\ilag9\Desktop\Rag_project\output\RESEARCH_OILRIG\match_results_chrf.csv
[2025-11-07 12:16:37,313] INFO - Results exported to: C:\Users\ilag9\Desktop\Rag_project\output\RESEARCH_OILRIG\match_results_edit_distance.csv
