[2025-11-06 19:23:13,643] INFO - Loading existing vectorstore from disk
[2025-11-06 19:23:16,046] INFO - Tool selection for report: UkrainianCriticalInfrastructure
[2025-11-06 19:23:16,047] INFO - TTP extraction from CTI report
[2025-11-06 19:23:16,057] INFO - Searching for tool alignment with CTI report...
[2025-11-06 19:23:56,265] INFO - Tool field precision: 1.00
[2025-11-06 19:23:56,266] INFO - Validating LLM output
[2025-11-06 19:23:56,269] INFO - Generating commands for report: UkrainianCriticalInfrastructure
[2025-11-06 19:23:56,293] INFO - Parsed 2 feasible attack actions.
[2025-11-06 19:24:07,983] INFO - Saved command in output\UkrainianCriticalInfrastructure_SANDWORM\generated_commands\command_psexec_TA0008_T1021.txt
[2025-11-06 19:24:18,662] INFO - Saved command in output\UkrainianCriticalInfrastructure_SANDWORM\generated_commands\command_ryuk_TA0040_T1529.txt
[2025-11-06 19:24:18,851] INFO - Results exported to: C:\Users\ilag9\Desktop\Rag_project\output\UkrainianCriticalInfrastructure_SANDWORM\match_results_chrf.csv
[2025-11-06 19:24:18,856] INFO - Results exported to: C:\Users\ilag9\Desktop\Rag_project\output\UkrainianCriticalInfrastructure_SANDWORM\match_results_edit_distance.csv
