file,tool,input_command,matched_command,chrf_score,match_found
command_chrome_passwords_TA0005_T1027.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",59.855,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",64.495,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",59.855,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",60.523,True
command_paexec_TA0002_T1204.txt,paexec,"PAExec -program ""<malicious_file_path>"""," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",13.231,True
command_paexec_TA0011_T1021.txt,paexec,paeexec -c -u <victims_username> -p <attacker_password> -w %windir% -i," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",25.201,True
command_paexec_TA0011_T1219.txt,paexec,paexec.exe -c -u <user_name> -p <password> -i," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",35.132,True
command_paexec_TA0011_T1219.txt,paexec,paexec.exe -s -u <user_name> -p <password> -i," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",36.42,True
command_paexec_TA0011_T1219.txt,paexec,paexec.exe -l -u <user_name> -p <password> -i," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",34.197,True
command_paexec_TA0011_T1219.txt,paexec,paexec.exe -h -u <user_name> -p <password> -i," `cmd > paexec.exe \\<itadmin_ip> -s -u <domain>\<domain_admin> -p <domain_admin_password_hash> -c -csrc "".\hollow.exe"" hollow.exe  `",34.197,True
command_ryuk_TA0005_T1055.txt,ryuk,ryuk.exe --process-name <target_process_name>,`ryuk.exe --encrypt --process-name notepad.exe`,49.49,True
command_ryuk_TA0005_T1055.txt,ryuk,'ryuk.exe --process-name notepad.exe',`ryuk.exe --encrypt --process-name notepad.exe`,85.814,True
command_ryuk_TA0005_T1055.txt,ryuk,ryuk.exe -e --process-name <target_process_name>,`ryuk.exe --encrypt --process-name notepad.exe`,47.53,True
command_ryuk_TA0005_T1055.txt,ryuk,'ryuk.exe -e --process-name explorer.exe',`ryuk.exe --encrypt --process-name notepad.exe`,56.095,True
command_ryuk_TA0005_T1055.txt,ryuk,ryuk.exe --drop-bat-files --disconnect-shares,`ryuk.exe --encrypt --process-name notepad.exe`,28.746,True
command_ryuk_TA0005_T1055.txt,ryuk,'ryuk.exe --drop-bat-files --disconnect-shares',`ryuk.exe --encrypt --process-name notepad.exe`,27.683,True
command_ryuk_TA0006_T1055.txt,ryuk,ryuk.exe --encrypt,`ryuk.exe --encrypt --process-name notepad.exe`,72.768,True
command_ryuk_TA0006_T1055.txt,ryuk,ryuk.exe -p <process_name> --injects-into-new-process,`ryuk.exe --encrypt --process-name notepad.exe`,35.338,True
command_ryuk_TA0006_T1055.txt,ryuk,ryuk.exe --disconnect-shares --drop-bat-files,`ryuk.exe --encrypt --process-name notepad.exe`,28.746,True
command_ryuk_TA0009_T1113.txt,ryuk,ryuk.exe /capture-desktop,`ryuk.exe --encrypt --process-name notepad.exe`,30.813,True
