file,tool,input_command,matched_command,edit_score,match_found
command_chrome_passwords_TA0006_T1552.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0006_T1552.txt,chrome passwords,chrome-passwords <file_path>,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.4,True
command_chrome_passwords_TA0006_T1552.txt,chrome passwords,chrome-passwords --<dll_name>,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.395,True
command_ryuk_TA0005_T1070.txt,ryuk,ryuk.exe --delete-backups,`ryuk.exe --encrypt --process-name notepad.exe`,0.444,True
command_ryuk_TA0005_T1070.txt,ryuk,ryuk.exe --stop-services,`ryuk.exe --encrypt --process-name notepad.exe`,0.451,True
command_ryuk_TA0005_T1070.txt,ryuk,ryuk.exe --mount-shares,`ryuk.exe --encrypt --process-name notepad.exe`,0.4,True
command_ryuk_TA0011_T1001.txt,ryuk,ryuk.exe --encrypt,`ryuk.exe --encrypt --process-name notepad.exe`,0.554,True
command_ryuk_TA0011_T1001.txt,ryuk,ryuk.exe -p <process_name>,`ryuk.exe --encrypt --process-name notepad.exe`,0.63,True
command_ryuk_TA0011_T1001.txt,ryuk,ryuk.exe --disconnect-shares,`ryuk.exe --encrypt --process-name notepad.exe`,0.427,True
command_ryuk_TA0011_T1001.txt,ryuk,ryuk.exe --drop-bat-files,`ryuk.exe --encrypt --process-name notepad.exe`,0.417,True
command_ryuk_TA0040_T1490.txt,ryuk,ryuk.exe /delete-backups,`ryuk.exe --encrypt --process-name notepad.exe`,0.394,True
command_windows_credential_editor_TA0006_T1003.txt,windows credential editor,wce -w,"```sh
wce.exe -w
```",0.462,True
